Name,Size,Type,Subtype,Alignment,CR,XP,Source
Neogi,Small,Aberration,,LE,3,700,Volo's Guide to Monsters pg. 180
Nightmare,Large,Fiend,,NE,3,700,Monster Manual pg. 235
Ogre Chain Brute,Large,Giant,,CE,3,700,Mordenkainen's Tome of Foes pg. 221
Orc Red Fang of Shargaas,Medium,Humanoid,orc,CE,3,700,Volo's Guide to Monsters pg. 185
Owlbear,Large,Monstrosity,,Unaligned,3,700,Monster Manual pg. 249
Phase Spider,Large,Monstrosity,,Unaligned,3,700,Monster Manual pg. 334
Quaggoth Thonot,Medium,Humanoid,quaggoth,CN,3,700,Monster Manual pg. 256
Redcap,Small,Fey,,CE,3,700,Volo's Guide to Monsters pg. 188
Slithering Tracker,Medium,Ooze,,CE,3,700,Volo's Guide to Monsters pg. 191
Spectator,Medium,Aberration,,LN,3,700,Monster Manual pg. 30
Swashbuckler,Medium,Humanoid,,Any non-lawful,3,700,Volo's Guide to Monsters pg. 217
Sword Wraith Warrior,Medium,Undead,,LE,3,700,Mordenkainen's Tome of Foes pg. 241
Trapper,Large,Monstrosity,,Unaligned,3,700,Volo's Guide to Monsters pg. 194
Vampiric Mist,Medium,Undead,,CE,3,700,Mordenkainen's Tome of Foes pg. 246
Veteran,Medium,Humanoid,,,3,700,Monster Manual pg. 350
Water Weird,Large,Elemental,,N,3,700,Monster Manual pg. 299
Werewolf,Medium,Humanoid,human, shapechanger,CE,3,700,Monster Manual pg. 211
Wight,Medium,Undead,,NE,3,700,Monster Manual pg. 300
Winter Wolf,Large,Monstrosity,,NE,3,700,Monster Manual pg. 340
Yeti,Large,Monstrosity,,CE,3,700,Monster Manual pg. 305
Yuan-ti Malison,Medium,Monstrosity,shapechanger, yuan-ti,NE,3,700,Monster Manual pg. 309
Babau,Medium,Fiend,demon,CE,4,1100,Volo's Guide to Monsters pg. 136
Banshee,Medium,Undead,,CE,4,1100,Monster Manual pg. 23
Barghest,Large,Fiend,shapechanger,NE,4,1100,Volo's Guide to Monsters pg. 123
Black Pudding,Large,Ooze,,Unaligned,4,1100,Monster Manual pg. 241
Bone Naga,Large,Undead,,LE,4,1100,Monster Manual pg. 233
Chuul,Large,Aberration,,CE,4,1100,Monster Manual pg. 40
Couatl,Medium,Celestial,,LG,4,1100,Monster Manual pg. 43
Deathlock,Medium,Undead,,NE,4,1100,Mordenkainen's Tome of Foes pg. 128
Dybbuk,Medium,Fiend,demon,CE,4,1100,Mordenkainen's Tome of Foes pg. 132
Elephant,Huge,Beast,,Unaligned,4,1100,Monster Manual pg. 322
Ettin,Large,Giant,,CE,4,1100,Monster Manual pg. 132
Flameskull,Tiny,Undead,,NE,4,1100,Monster Manual pg. 134
Ghost,Medium,Undead,,Any,4,1100,Monster Manual pg. 147
Girallon,Large,Monstrosity,,Unaligned,4,1100,Volo's Guide to Monsters pg. 152
Gnoll Fang of Yeenoghu,Medium,Fiend,gnoll,CE,4,1100,Monster Manual pg. 163
Helmed Horror,Medium,Construct,,N,4,1100,Monster Manual pg. 183
Hobgoblin Devastator,Medium,Humanoid,goblinoid,LE,4,1100,Volo's Guide to Monsters pg. 161
Incubus,Medium,Fiend,shapechanger,NE,4,1100,Monster Manual pg. 285
Iron Cobra,Medium,Construct,,Unaligned,4,1100,Mordenkainen's Tome of Foes pg. 125
Lamia,Large,Monstrosity,,CE,4,1100,Monster Manual pg. 201
Lizard King/Queen,Medium,Humanoid,lizardfolk,CE,4,1100,Monster Manual pg. 205
Merregon,Medium,Fiend,devil,LE,4,1100,Mordenkainen's Tome of Foes pg. 166
Neogi Master,Medium,Aberration,,LE,4,1100,Volo's Guide to Monsters pg. 180
Ogre Battering Ram,Large,Giant,,CE,4,1100,Mordenkainen's Tome of Foes pg. 220
Orc Blade of Ilneval,Medium,Humanoid,orc,CE,4,1100,Volo's Guide to Monsters pg. 183
Orc War Chief,Medium,Humanoid,orc,CE,4,1100,Monster Manual pg. 246
Red Dragon Wyrmling,Medium,Dragon,,CE,4,1100,Monster Manual pg. 98
Shadow Demon,Medium,Fiend,demon,CE,4,1100,Monster Manual pg. 64
Stegosaurus,Huge,Beast,,Unaligned,4,1100,Volo's Guide to Monsters pg. 140
Stone Defender,Medium,Construct,,Unaligned,4,1100,Mordenkainen's Tome of Foes pg. 126
Succubus,Medium,Fiend,shapechanger,NE,4,1100,Monster Manual pg. 285
Warlock of the Archfey,Medium,Humanoid,,Any,4,1100,Volo's Guide to Monsters pg. 219
Wereboar,Medium,Humanoid,human, shapechanger,NE,4,1100,Monster Manual pg. 209
Weretiger,Medium,Humanoid,human, shapechanger,N,4,1100,Monster Manual pg. 210
Yeth Hound,Large,Fey,,NE,4,1100,Volo's Guide to Monsters pg. 201
Yuan-ti Mind Whisperer,Medium,Monstrosity,shapechanger, yuan-ti,NE,4,1100,Volo's Guide to Monsters pg. 204
Yuan-ti Nightmare Speaker,Medium,Monstrosity,shapechanger, yuan-ti,NE,4,1100,Volo's Guide to Monsters pg. 205
Adult Oblex,Medium,Ooze,,LE,5,1800,Mordenkainen's Tome of Foes pg. 218
Air Elemental,Large,Elemental,,N,5,1800,Monster Manual pg. 124
Allip,Medium,Undead,,NE,5,1800,Mordenkainen's Tome of Foes pg. 116
Banderhobb,Large,Monstrosity,,NE,5,1800,Volo's Guide to Monsters pg. 122
Barbed Devil,Medium,Fiend,devil,LE,5,1800,Monster Manual pg. 70
Barlgura,Large,Fiend,demon,CE,5,1800,Monster Manual pg. 56
Beholder Zombie,Large,Undead,,NE,5,1800,Monster Manual pg. 316
Brontosaurus,Gargantuan,Beast,,Unaligned,5,1800,Volo's Guide to Monsters pg. 139
Bulette,Large,Monstrosity,,Unaligned,5,1800,Monster Manual pg. 34
Cambion,Medium,Fiend,,Any evil,5,1800,Monster Manual pg. 36
Catoblepas,Large,Monstrosity,,Unaligned,5,1800,Volo's Guide to Monsters pg. 129
Drow Elite Warrior,Medium,Humanoid,elf,NE,5,1800,Monster Manual pg. 128
Earth Elemental,Large,Elemental,,N,5,1800,Monster Manual pg. 124
Enchanter,Medium,Humanoid,,Any,5,1800,Volo's Guide to Monsters pg. 213
Fire Elemental,Large,Elemental,,N,5,1800,Monster Manual pg. 125
Flesh Golem,Medium,Construct,,N,5,1800,Monster Manual pg. 169
Giant Crocodile,Huge,Beast,,Unaligned,5,1800,Monster Manual pg. 324
Giant Shark,Huge,Beast,,Unaligned,5,1800,Monster Manual pg. 328
Gladiator,Medium,Humanoid,,Any,5,1800,Monster Manual pg. 346
Gorgon,Large,Monstrosity,,Unaligned,5,1800,Monster Manual pg. 171
Half-Red Dragon Veteran,Medium,Humanoid,human,Any,5,1800,Monster Manual pg. 180
Hill Giant,Huge,Giant,,CE,5,1800,Monster Manual pg. 155
Kraken Priest,Medium,Humanoid,,Any,5,1800,Volo's Guide to Monsters pg. 215
Kruthik Hive Lord,Large,Monstrosity,,Unaligned,5,1800,Mordenkainen's Tome of Foes pg. 212
Master Thief,Medium,Humanoid,,Any,5,1800,Volo's Guide to Monsters pg. 216
Mezzoloth,Medium,Fiend,yugoloth,NE,5,1800,Monster Manual pg. 313
Mindwitness,Large,Aberration,,LE,5,1800,Volo's Guide to Monsters pg. 176
Night Hag,Medium,Fiend,,NE,5,1800,Monster Manual pg. 178
Oaken Bolter,Medium,Construct,,Unaligned,5,1800,Mordenkainen's Tome of Foes pg. 126
Otyugh,Large,Aberration,,N,5,1800,Monster Manual pg. 248
Red Slaad,Large,Aberration,,CN,5,1800,Monster Manual pg. 276
Revenant,Medium,Undead,,N,5,1800,Monster Manual pg. 259
Roper,Large,Monstrosity,,NE,5,1800,Monster Manual pg. 261
Sahuagin Baron,Large,Humanoid,sahuagin,LE,5,1800,Monster Manual pg. 264
Salamander,Large,Elemental,,NE,5,1800,Monster Manual pg. 266
Shambling Mound,Large,Plant,,Unaligned,5,1800,Monster Manual pg. 270
Spawn of Kyuss,Medium,Undead,,CE,5,1800,Volo's Guide to Monsters pg. 192
Star Spawn Mangler,Medium,Aberration,,CE,5,1800,Mordenkainen's Tome of Foes pg. 236
Swarm of Cranium Rats,Medium,Beast,,LE,5,1800,Volo's Guide to Monsters pg. 133
Tanarukk,Medium,Fiend,demon, orc,CE,5,1800,Volo's Guide to Monsters pg. 186
Tlincalli,Large,Monstrosity,,NE,5,1800,Volo's Guide to Monsters pg. 193
Transmuter,Medium,Humanoid,,Any,5,1800,Volo's Guide to Monsters pg. 218
Triceratops,Huge,Beast,,Unaligned,5,1800,Monster Manual pg. 80
Troll,Large,Giant,,CE,5,1800,Monster Manual pg. 291
Umber Hulk,Large,Monstrosity,,CE,5,1800,Monster Manual pg. 292
Unicorn,Large,Celestial,,LG,5,1800,Monster Manual pg. 294
Vampire Spawn,Medium,Undead,,NE,5,1800,Monster Manual pg. 298
Water Elemental,Large,Elemental,,N,5,1800,Monster Manual pg. 125
Werebear,Medium,Humanoid,human, shapechanger,NG,5,1800,Monster Manual pg. 208
Wood Woad,Medium,Plant,,LN,5,1800,Volo's Guide to Monsters pg. 198
Wraith,Medium,Undead,,NE,5,1800,Monster Manual pg. 302
Xorn,Medium,Elemental,,N,5,1800,Monster Manual pg. 304
Young Remorhaz,Large,Monstrosity,,Unaligned,5,1800,Monster Manual pg. 258
Yuan-ti Pit Master,Medium,Monstrosity,shapechanger, yuan-ti,NE,5,1800,Volo's Guide to Monsters pg. 206
Annis Hag,Large,Fey,,CE,6,2300,Volo's Guide to Monsters pg. 159
Bodak,Medium,Undead,,CE,6,2300,Volo's Guide to Monsters pg. 127
Chasme,Large,Fiend,demon,CE,6,2300,Monster Manual pg. 57
Chimera,Large,Monstrosity,,CE,6,2300,Monster Manual pg. 39
Conjurer,Medium,Humanoid,,Any,6,2300,Volo's Guide to Monsters pg. 212
Cyclops,Huge,Giant,,CN,6,2300,Monster Manual pg. 45
Drider,Large,Monstrosity,,CE,6,2300,Monster Manual pg. 120
Duergar Warlord,Medium,Humanoid,dwarf,LE,6,2300,Mordenkainen's Tome of Foes pg. 192
Galeb Duhr,Medium,Elemental,,N,6,2300,Monster Manual pg. 139
Gauth,Medium,Aberration,,LE,6,2300,Volo's Guide to Monsters pg. 125
Githzerai Zerth,Medium,Humanoid,gith,LN,6,2300,Monster Manual pg. 161
Hobgoblin Warlord,Medium,Humanoid,goblinoid,LE,6,2300,Monster Manual pg. 187
Invisible Stalker,Medium,Elemental,,N,6,2300,Monster Manual pg. 192
Kuo-toa Archpriest,Medium,Humanoid,kuo-toa,NE,6,2300,Monster Manual pg. 200
Mage,Medium,Humanoid,,,6,2300,Monster Manual pg. 347
Mammoth,Huge,Beast,,Unaligned,6,2300,Monster Manual pg. 332
Medusa,Medium,Monstrosity,,LE,6,2300,Monster Manual pg. 214
Mouth of Grolantor,Huge,Giant,hill giant,CE,6,2300,Volo's Guide to Monsters pg. 149
Vrock,Large,Fiend,demon,CE,6,2300,Monster Manual pg. 64
Warlock of the Great Old One,Medium,Humanoid,,Any,6,2300,Volo's Guide to Monsters pg. 220
White Abishai,Medium,Fiend,devil,LE,6,2300,Mordenkainen's Tome of Foes pg. 163
Wyvern,Large,Dragon,,Unaligned,6,2300,Monster Manual pg. 303
Young Brass Dragon,Large,Dragon,,CG,6,2300,Monster Manual pg. 105
Young White Dragon,Large,Dragon,,CE,6,2300,Monster Manual pg. 101
Air Elemental Myrmidon,Medium,Elemental,,N,7,2900,Mordenkainen's Tome of Foes pg. 202
Armanite,Large,Fiend,demon,CE,7,2900,Mordenkainen's Tome of Foes pg. 131
Bheur Hag,Medium,Fey,,CE,7,2900,Volo's Guide to Monsters pg. 160
Black Abishai,Medium,Fiend,devil,LE,7,2900,Mordenkainen's Tome of Foes pg. 160
Blue Slaad,Large,Aberration,,CN,7,2900,Monster Manual pg. 276
Dhergoloth,Medium,Fiend,yugoloth,NE,7,2900,Mordenkainen's Tome of Foes pg. 248
Draegloth,Large,Fiend,demon,CE,7,2900,Volo's Guide to Monsters pg. 141
Drow Mage,Medium,Humanoid,elf,NE,7,2900,Monster Manual pg. 129
Earth Elemental Myrmidon,Medium,Elemental,,N,7,2900,Mordenkainen's Tome of Foes pg. 202
Fire Elemental Myrmidon,Medium,Elemental,,N,7,2900,Mordenkainen's Tome of Foes pg. 203
Giant Ape,Huge,Beast,,Unaligned,7,2900,Monster Manual pg. 323
Grick Alpha,Large,Monstrosity,,N,7,2900,Monster Manual pg. 173
Korred,Small,Fey,,CN,7,2900,Volo's Guide to Monsters pg. 168
Lost Sorrowsworn,Medium,Monstrosity,,NE,7,2900,Mordenkainen's Tome of Foes pg. 233
Maurezhi,Medium,Fiend,demon,CE,7,2900,Mordenkainen's Tome of Foes pg. 133
Mind Flayer,Medium,Aberration,,LE,7,2900,Monster Manual pg. 222
Oni,Large,Giant,,LE,7,2900,Monster Manual pg. 239
Shadow Dancer,Medium,Humanoid,elf,N,7,2900,Mordenkainen's Tome of Foes pg. 225
Shield Guardian,Large,Construct,,Unaligned,7,2900,Monster Manual pg. 271
Stone Giant,Huge,Giant,,N,7,2900,Monster Manual pg. 156
Venom Troll,Large,Giant,,CE,7,2900,Mordenkainen's Tome of Foes pg. 245
Warlock of the Fiend,Medium,Humanoid,,Any,7,2900,Volo's Guide to Monsters pg. 219
Water Elemental Myrmidon,Medium,Elemental,,N,7,2900,Mordenkainen's Tome of Foes pg. 203
Young Black Dragon,Large,Dragon,,CE,7,2900,Monster Manual pg. 88
Young Copper Dragon,Large,Dragon,,CG,7,2900,Monster Manual pg. 111
Yuan-ti Abomination,Large,Monstrosity,shapechanger, yuan-ti,NE,7,2900,Monster Manual pg. 308
Assassin,Medium,Humanoid,,Any non-good,8,3900,Monster Manual pg. 343
Blackguard,Medium,Humanoid,,Any non-good,8,3900,Volo's Guide to Monsters pg. 211
Canoloth,Medium,Fiend,yugoloth,NE,8,3900,Mordenkainen's Tome of Foes pg. 247
Chain Devil,Medium,Fiend,devil,LE,8,3900,Monster Manual pg. 72
Cloaker,Large,Aberration,,CN,8,3900,Monster Manual pg. 41
Corpse Flower,Large,Plant,,CE,8,3900,Mordenkainen's Tome of Foes pg. 127
Deathlock Mastermind,Medium,Undead,,NE,8,3900,Mordenkainen's Tome of Foes pg. 129
Diviner,Medium,Humanoid,,Any,8,3900,Volo's Guide to Monsters pg. 213
Drow Priestess of Lolth,Medium,Humanoid,elf,NE,8,3900,Monster Manual pg. 129
Fomorian,Huge,Giant,,CE,8,3900,Monster Manual pg. 136
Frost Giant,Huge,Giant,,NE,8,3900,Monster Manual pg. 155
Githyanki Knight,Medium,Humanoid,gith,LE,8,3900,Monster Manual pg. 160
Green Slaad,Large,Aberration,shapechanger,CN,8,3900,Monster Manual pg. 277
Hezrou,Large,Fiend,demon,CE,8,3900,Monster Manual pg. 60
Howler,Large,Fiend,,CE,8,3900,Mordenkainen's Tome of Foes pg. 210
Hydra,Huge,Monstrosity,,Unaligned,8,3900,Monster Manual pg. 190
Mind Flayer Arcanist,Medium,Aberration,,LE,8,3900,Monster Manual pg. 222
Shoosuva,Large,Fiend,demon,CE,8,3900,Volo's Guide to Monsters pg. 137
Spirit Naga,Large,Monstrosity,,CE,8,3900,Monster Manual pg. 234
Sword Wraith Commander,Medium,Undead,,LE,8,3900,Mordenkainen's Tome of Foes pg. 241
Tyrannosaurus Rex,Huge,Beast,,Unaligned,8,3900,Monster Manual pg. 80
Young Bronze Dragon,Large,Dragon,,LG,8,3900,Monster Manual pg. 108
Young Green Dragon,Large,Dragon,,LE,8,3900,Monster Manual pg. 94
Abjurer,Medium,Humanoid,,Any,9,5000,Volo's Guide to Monsters pg. 209
Abominable Yeti,Huge,Monstrosity,,CE,9,5000,Monster Manual pg. 306
Bone Devil,Large,Fiend,devil,LE,9,5000,Monster Manual pg. 71
Champion,Medium,Humanoid,,Any,9,5000,Volo's Guide to Monsters pg. 212
Clay Golem,Large,Construct,,Unaligned,9,5000,Monster Manual pg. 168
Cloud Giant,Huge,Giant,,NG or NE,9,5000,Monster Manual pg. 154
Drow House Captain,Medium,Humanoid,elf,NE,9,5000,Mordenkainen's Tome of Foes pg. 184
Evoker,Medium,Humanoid,,Any,9,5000,Volo's Guide to Monsters pg. 214
Fire Giant,Huge,Giant,,LE,9,5000,Monster Manual pg. 154
Flind,Medium,Humanoid,gnoll,CE,9,5000,Volo's Guide to Monsters pg. 153
Frost Salamander,Huge,Elemental,,Unaligned,9,5000,Mordenkainen's Tome of Foes pg. 223
Glabrezu,Large,Fiend,demon,CE,9,5000,Monster Manual pg. 58
Gloom Weaver,Medium,Humanoid,elf,N,9,5000,Mordenkainen's Tome of Foes pg. 224
Gray Slaad,Medium,Aberration,shapechanger,CN,9,5000,Monster Manual pg. 277
Hydroloth,Medium,Fiend,yugoloth,NE,9,5000,Mordenkainen's Tome of Foes pg. 249
Lonely Sorrowsworn,Medium,Monstrosity,,NE,9,5000,Mordenkainen's Tome of Foes pg. 232
Necromancer,Medium,Humanoid,,Any,9,5000,Volo's Guide to Monsters pg. 217
Nycaloth,Large,Fiend,yugoloth,NE,9,5000,Monster Manual pg. 314
Rot Troll,Large,Giant,,CE,9,5000,Mordenkainen's Tome of Foes pg. 244
Treant,Huge,Plant,,CG,9,5000,Monster Manual pg. 289
Ulitharid,Large,Aberration,,LE,9,5000,Volo's Guide to Monsters pg. 175
War Priest,Medium,Humanoid,,Any,9,5000,Volo's Guide to Monsters pg. 218
Young Blue Dragon,Large,Dragon,,LE,9,5000,Monster Manual pg. 91
Young Silver Dragon,Large,Dragon,,LG,9,5000,Monster Manual pg. 118
Aboleth,Large,Aberration,,LE,10,5900,Monster Manual pg. 13
Alhoon,Medium,Undead,,Any evil,10,5900,Volo's Guide to Monsters pg. 172
Autumn Eladrin,Medium,Fey,elf,CN,10,5900,Mordenkainen's Tome of Foes pg. 195
Death Kiss,Large,Aberration,,NE,10,5900,Volo's Guide to Monsters pg. 124
Death Slaad,Medium,Aberration,shapechanger,CE,10,5900,Monster Manual pg. 278
Deva,Medium,Celestial,,LG,10,5900,Monster Manual pg. 16
Elder Oblex,Huge,Ooze,,LE,10,5900,Mordenkainen's Tome of Foes pg. 219
Froghemoth,Huge,Monstrosity,,Unaligned,10,5900,Volo's Guide to Monsters pg. 145
Githyanki Gish,Medium,Humanoid,gith,LE,10,5900,Mordenkainen's Tome of Foes pg. 205
Githzerai Enlightened,Medium,Humanoid,gith,LN,10,5900,Mordenkainen's Tome of Foes pg. 208
Guardian Naga,Large,Monstrosity,,LG,10,5900,Monster Manual pg. 234
Orthon,Large,Fiend,devil,LE,10,5900,Mordenkainen's Tome of Foes pg. 169
Spring Eladrin,Medium,Fey,elf,CN,10,5900,Mordenkainen's Tome of Foes pg. 196
Star Spawn Hulk,Large,Aberration,,CE,10,5900,Mordenkainen's Tome of Foes pg. 234
Stone Giant Dreamwalker,Huge,Giant,stone giant,CN,10,5900,Volo's Guide to Monsters pg. 150
Stone Golem,Large,Construct,,Unaligned,10,5900,Monster Manual pg. 170
Summer Eladrin,Medium,Fey,elf,CN,10,5900,Mordenkainen's Tome of Foes pg. 196
Winter Eladrin,Medium,Fey,elf,CN,10,5900,Mordenkainen's Tome of Foes pg. 197
Yochlol,Medium,Fiend,demon, shapechanger,CE,10,5900,Monster Manual pg. 65
Young Gold Dragon,Large,Dragon,,LG,10,5900,Monster Manual pg. 115
Young Red Dragon,Large,Dragon,,CE,10,5900,Monster Manual pg. 98
Alkilith,Medium,Fiend,demon,CE,11,7200,Mordenkainen's Tome of Foes pg. 130
Balhannoth,Large,Aberration,,CE,11,7200,Mordenkainen's Tome of Foes pg. 118
Behir,Huge,Monstrosity,,NE,11,7200,Monster Manual pg. 25
Cloud Giant Smiling One,Huge,Giant,cloud giant,CN,11,7200,Volo's Guide to Monsters pg. 146
Dao,Large,Elemental,,NE,11,7200,Monster Manual pg. 143
Djinni,Large,Elemental,,CG,11,7200,Monster Manual pg. 144
Drow Shadowblade,Medium,Humanoid,elf,NE,11,7200,Mordenkainen's Tome of Foes pg. 187
Efreeti,Large,Elemental,,LE,11,7200,Monster Manual pg. 145
Gynosphinx,Large,Monstrosity,,LN,11,7200,Monster Manual pg. 282
Horned Devil,Large,Fiend,devil,LE,11,7200,Monster Manual pg. 74
Hungry Sorrowsworn,Medium,Monstrosity,,NE,11,7200,Mordenkainen's Tome of Foes pg. 232
Marid,Large,Elemental,,CN,11,7200,Monster Manual pg. 146
Morkoth,Medium,Aberration,,CE,11,7200,Volo's Guide to Monsters pg. 178
Remorhaz,Huge,Monstrosity,,Unaligned,11,7200,Monster Manual pg. 258
Roc,Gargantuan,Monstrosity,,Unaligned,11,7200,Monster Manual pg. 260
Soul Monger,Medium,Humanoid,elf,N,11,7200,Mordenkainen's Tome of Foes pg. 226
Spirit Troll,Large,Giant,,CE,11,7200,Mordenkainen's Tome of Foes pg. 244
Yagnoloth,Large,Fiend,yugoloth,NE,11,7200,Mordenkainen's Tome of Foes pg. 252
Arcanaloth,Medium,Fiend,yugoloth,NE,12,8400,Monster Manual pg. 313
Archdruid,Medium,Humanoid,,Any,12,8400,Volo's Guide to Monsters pg. 210
Archmage,Medium,Humanoid,,Any,12,8400,Monster Manual pg. 342
Boneclaw,Large,Undead,,CE,12,8400,Mordenkainen's Tome of Foes pg. 121
Duergar Despot,Medium,Humanoid,dwarf,LE,12,8400,Mordenkainen's Tome of Foes pg. 188
Eidolon,Medium,Undead,,Any,12,8400,Mordenkainen's Tome of Foes pg. 194
Erinyes,Medium,Fiend,devil,LE,12,8400,Monster Manual pg. 73
Frost Giant Everlasting One,Huge,Giant,frost giant,CE,12,8400,Volo's Guide to Monsters pg. 148
Githyanki Kith'rak,Medium,Humanoid,gith,LE,12,8400,Mordenkainen's Tome of Foes pg. 205
Gray Render,Large,Monstrosity,,CN,12,8400,Mordenkainen's Tome of Foes pg. 209
Ki-rin,Huge,Celestial,,LG,12,8400,Volo's Guide to Monsters pg. 163
Morkoth (in lair),Medium,Aberration,,CE,12,8400,Volo's Guide to Monsters pg. 178
Oinoloth,Medium,Fiend,yugoloth,NE,12,8400,Mordenkainen's Tome of Foes pg. 251
Warlord,Medium,Humanoid,,Any,12,8400,Volo's Guide to Monsters pg. 220
Yuan-ti Anathema,Huge,Monstrosity,shapechanger, yuan-ti,NE,12,8400,Volo's Guide to Monsters pg. 202
Adult Brass Dragon,Huge,Dragon,,CG,13,10000,Monster Manual pg. 105
Adult White Dragon,Huge,Dragon,,CE,13,10000,Monster Manual pg. 101
Angry Sorrowsworn,Medium,Monstrosity,,NE,13,10000,Mordenkainen's Tome of Foes pg. 231
Beholder,Large,Aberration,,LE,13,10000,Monster Manual pg. 28
Devourer,Large,Fiend,,CE,13,10000,Volo's Guide to Monsters pg. 138
Dire Troll,Huge,Giant,,CE,13,10000,Mordenkainen's Tome of Foes pg. 243
Drow Arachnomancer,Medium,Humanoid,elf,CE,13,10000,Mordenkainen's Tome of Foes pg. 182
Nalfeshnee,Large,Fiend,demon,CE,13,10000,Monster Manual pg. 62
Narzugon,Medium,Fiend,devil,LE,13,10000,Mordenkainen's Tome of Foes pg. 167
Neothelid,Gargantuan,Aberration,,CE,13,10000,Volo's Guide to Monsters pg. 181
Rakshasa,Medium,Fiend,,LE,13,10000,Monster Manual pg. 257
Star Spawn Seer,Medium,Aberration,,NE,13,10000,Mordenkainen's Tome of Foes pg. 236
Storm Giant,Huge,Giant,,CG,13,10000,Monster Manual pg. 156
Ultroloth,Medium,Fiend,yugoloth,NE,13,10000,Monster Manual pg. 314
Vampire,Medium,Undead,shapechanger,LE,13,10000,Monster Manual pg. 297
Wastrilith,Large,Fiend,demon,CE,13,10000,Mordenkainen's Tome of Foes pg. 139
Young Red Shadow Dragon,Large,Dragon,,CE,13,10000,Monster Manual pg. 85
Adult Black Dragon,Huge,Dragon,,CE,14,11500,Monster Manual pg. 88
Adult Copper Dragon,Huge,Dragon,,CG,14,11500,Monster Manual pg. 111
Beholder (in lair),Large,Aberration,,LE,14,11500,Monster Manual pg. 28
Cadaver Collector,Large,Construct,,LE,14,11500,Mordenkainen's Tome of Foes pg. 122
Death Tyrant,Large,Undead,,LE,14,11500,Monster Manual pg. 29
Drow Inquisitor,Medium,Humanoid,elf,NE,14,11500,Mordenkainen's Tome of Foes pg. 184
Elder Brain,Large,Aberration,,LE,14,11500,Volo's Guide to Monsters pg. 174
Fire Giant Dreadnought,Huge,Giant,fire giant,LE,14,11500,Volo's Guide to Monsters pg. 147
Githyanki Supreme Commander,Medium,Humanoid,gith,LE,14,11500,Mordenkainen's Tome of Foes pg. 206
Ice Devil,Large,Fiend,devil,LE,14,11500,Monster Manual pg. 75
Retriever,Large,Construct,,LE,14,11500,Mordenkainen's Tome of Foes pg. 222
Adult Bronze Dragon,Huge,Dragon,,LG,15,13000,Monster Manual pg. 108
Adult Green Dragon,Huge,Dragon,,LE,15,13000,Monster Manual pg. 94
Death Tyrant (in lair),Large,Undead,,LE,15,13000,Monster Manual pg. 29
Green Abishai,Medium,Fiend,devil,LE,15,13000,Mordenkainen's Tome of Foes pg. 162
Mummy Lord,Medium,Undead,,LE,15,13000,Monster Manual pg. 229
Nabassu,Medium,Fiend,demon,CE,15,13000,Mordenkainen's Tome of Foes pg. 135
Purple Worm,Gargantuan,Monstrosity,,Unaligned,15,13000,Monster Manual pg. 255
Skull Lord,Medium,Undead,,LE,15,13000,Mordenkainen's Tome of Foes pg. 230
Vampire (spellcaster),Medium,Undead,shapechanger,LE,15,13000,Monster Manual pg. 297
Vampire (warrior),Medium,Undead,shapechanger,LE,15,13000,Monster Manual pg. 297
Adult Blue Dragon,Huge,Dragon,,LE,16,15000,Monster Manual pg. 91
Adult Silver Dragon,Huge,Dragon,,LG,16,15000,Monster Manual pg. 117
Githzerai Anarch,Medium,Humanoid,gith,LN,16,15000,Mordenkainen's Tome of Foes pg. 207
Hellfire Engine,Huge,Construct,,LE,16,15000,Mordenkainen's Tome of Foes pg. 165
Iron Golem,Large,Construct,,Unaligned,16,15000,Monster Manual pg. 170
Marilith,Large,Fiend,demon,CE,16,15000,Monster Manual pg. 61
Mummy Lord (in lair),Medium,Undead,,LE,16,15000,Monster Manual pg. 229
Phoenix,Gargantuan,Elemental,,N,16,15000,Mordenkainen's Tome of Foes pg. 199
Planetar,Large,Celestial,,LG,16,15000,Monster Manual pg. 17
Star Spawn Larva Mage,Medium,Aberration,,CE,16,15000,Mordenkainen's Tome of Foes pg. 235
Steel Predator,Large,Construct,,LE,16,15000,Mordenkainen's Tome of Foes pg. 239
Storm Giant Quintessent,Huge,Giant,storm giant,CG,16,15000,Volo's Guide to Monsters pg. 151
Adult Blue Dracolich,Huge,Undead,,LE,17,18000,Monster Manual pg. 84
Adult Gold Dragon,Huge,Dragon,,LG,17,18000,Monster Manual pg. 114
Adult Red Dragon,Huge,Dragon,,CE,17,18000,Monster Manual pg. 98
Androsphinx,Large,Monstrosity,,LN,17,18000,Monster Manual pg. 281
Blue Abishai,Medium,Fiend,devil,LE,17,18000,Mordenkainen's Tome of Foes pg. 161
Death Knight,Medium,Undead,,CE,17,18000,Monster Manual pg. 47
Dragon Turtle,Gargantuan,Dragon,,N,17,18000,Monster Manual pg. 119
Goristro,Huge,Fiend,demon,CE,17,18000,Monster Manual pg. 59
Nagpa,Medium,Humanoid,nagpa,NE,17,18000,Mordenkainen's Tome of Foes pg. 215
Amnizu,Medium,Fiend,devil,LE,18,20000,Mordenkainen's Tome of Foes pg. 164
Demilich,Tiny,Undead,,NE,18,20000,Monster Manual pg. 48
Drow Favored Consort,Medium,Humanoid,elf,NE,18,20000,Mordenkainen's Tome of Foes pg. 183
Sibriex,Huge,Fiend,demon,CE,18,20000,Mordenkainen's Tome of Foes pg. 137
Balor,Huge,Fiend,demon,CE,19,22000,Monster Manual pg. 55
